;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;speedup_non_diff;speedup_exact;speedup_max_diff
33;33;val_116.png;225273;1920;1080;2073600;20039.0;21267.333333333332;10003.333333333334;5571.0;3.5970202836115597;3.817507329623646;1.795608209178484
34;34;val_046.png;164836;1920;1080;2073600;14977.666666666666;18838.0;9714.333333333334;5531.0;2.7079491351774845;3.4058940517085516;1.756343036220093
35;35;val_066.png;113363;1920;1080;2073600;16527.333333333332;17977.666666666668;7759.333333333333;4752.0;3.4779741863075193;3.783179012345679;1.6328563411896744
36;36;val_107.png;58083;1920;1080;2073600;14000.333333333334;16604.333333333332;8207.0;5492.0;2.5492231124059237;3.023367322165574;1.49435542607429
37;37;val_096.png;111667;1920;1080;2073600;19556.666666666668;19431.0;10812.666666666666;6703.666666666667;2.917308935408483;2.8985629754860525;1.6129481378350154
38;38;val_029.png;218215;1920;1080;2073600;20017.333333333332;22826.0;10976.0;6048.0;3.3097442680776012;3.7741402116402116;1.8148148148148149
39;39;val_009.png;119205;1920;1080;2073600;17966.666666666668;18519.666666666668;10300.333333333334;6491.333333333333;2.7677929547088427;2.852983465132998;1.5867823765020028
40;40;val_090.png;134137;1920;1080;2073600;19640.333333333332;21224.333333333332;10171.666666666666;6013.666666666667;3.265949781054265;3.529349814311845;1.6914250873011472
41;41;val_111.png;84694;1920;1080;2073600;13437.333333333334;15910.333333333334;7982.0;5144.333333333333;2.6120650554007647;3.09278818117022;1.5516101859651397
42;42;val_132.png;167064;1920;1080;2073600;19118.0;20377.666666666668;11231.666666666666;6527.0;2.9290638884633062;3.1220570961646494;1.7208007762627036
43;43;val_130.png;175635;1920;1080;2073600;19074.666666666668;20050.333333333332;10033.666666666666;6012.666666666667;3.1724137931034484;3.3346823372879473;1.6687548508703847
44;44;val_060.png;147187;1920;1080;2073600;17380.666666666668;19236.333333333332;9471.0;5818.333333333333;2.987224291034088;3.306158693784016;1.627785734746491
45;45;val_050.png;105475;1920;1080;2073600;14907.333333333334;18338.0;8429.666666666666;5385.0;2.7683070256886415;3.405385329619313;1.5653977096874032
46;46;val_018.png;80733;1920;1080;2073600;11319.333333333334;17289.666666666668;7260.666666666667;4839.0;2.3391885375766344;3.5729833987738515;1.500447750912723
47;47;val_058.png;279706;1920;1080;2073600;22879.666666666668;23759.666666666668;13252.333333333334;7111.333333333333;3.21735258273179;3.3410987156651357;1.8635511390269055
48;48;val_064.png;154034;1920;1080;2073600;17731.666666666668;19433.666666666668;10736.0;6541.333333333333;2.7107113738279662;2.970902975947819;1.641255605381166
49;49;val_079.png;124414;1920;1080;2073600;15159.333333333334;18310.666666666668;7601.666666666667;4782.333333333333;3.1698612950442606;3.828814386282847;1.5895309123858647
50;50;val_134.png;59994;1920;1080;2073600;14511.666666666666;18420.666666666668;8376.333333333334;5740.0;2.5281649245063877;3.2091753774680605;1.4592915214866435
51;51;val_065.png;142356;1920;1080;2073600;13295.666666666666;20355.666666666668;8143.666666666667;4662.333333333333;2.8517194537785087;4.365982698219776;1.7466933581182529
52;52;val_105.png;176987;1920;1080;2073600;19577.666666666668;20915.333333333332;11800.333333333334;7091.0;2.760917595073568;2.9495604757203964;1.6641282376721667
53;53;val_052.png;92332;1920;1080;2073600;15874.333333333334;17570.333333333332;6968.666666666667;4501.0;3.5268458860993857;3.903651040509516;1.5482485373620678
54;54;val_198.png;188799;1920;1080;2073600;19709.666666666668;20986.666666666668;11693.666666666666;6814.333333333333;2.892383701022355;3.0797828107420635;1.7160397201976227
55;55;val_189.png;144890;1920;1080;2073600;15600.666666666666;19430.333333333332;8995.666666666666;5395.333333333333;2.891511182503398;3.6013221302360066;1.6673050784628691
56;56;val_074.png;138858;1920;1080;2073600;14542.666666666666;18326.333333333332;8673.0;5216.666666666667;2.787731629392971;3.5130351437699674;1.662555910543131
57;57;val_104.png;98271;1920;1080;2073600;15144.666666666666;17954.333333333332;8971.0;5769.333333333333;2.6250288883753177;3.11202911948232;1.5549456898544027
58;58;val_053.png;119475;1920;1080;2073600;19461.333333333332;19146.666666666668;9951.0;6422.333333333333;3.0302589920589607;2.981263299942908;1.5494368609539628
59;59;val_099.png;146582;1920;1080;2073600;18205.333333333332;20209.333333333332;12644.333333333334;7508.0;2.42479133368851;2.6917066240454623;1.684114722074232
60;60;val_121.png;185182;1920;1080;2073600;18728.0;22124.666666666668;11109.666666666666;6225.0;3.0085140562248998;3.554163319946453;1.784685408299866
61;61;val_037.png;142820;1920;1080;2073600;17394.0;19860.666666666668;9545.0;5757.666666666667;3.0210154576506687;3.449429745846118;1.6577896138482022
62;62;val_072.png;171579;1920;1080;2073600;17952.666666666668;19782.666666666668;8695.0;5274.333333333333;3.4037793086014037;3.750742589900778;1.648549579725716
63;63;val_194.png;130333;1920;1080;2073600;17010.333333333332;18361.0;9161.333333333334;5664.666666666667;3.0028833706013884;3.2413204660468398;1.6172766858891374
64;64;val_026.png;171941;1920;1080;2073600;19698.0;20406.666666666668;10452.666666666666;6278.333333333333;3.137456862224582;3.250331829041678;1.6648792142288293
65;65;val_081.png;108564;1920;1080;2073600;16424.333333333332;18630.333333333332;9449.0;6111.333333333333;2.68752045380168;3.0484891458492416;1.5461437765899422
66;66;val_070.png;146223;1920;1080;2073600;17682.666666666668;19223.0;9374.0;5633.0;3.1391206580271023;3.412568791052725;1.6641221374045803
